"Assembled.Payload.Size","DYNRiskA.Score","Response.Size","Source.Ping.Time","Operating.System","Connection.State","Connection.Rate","Ingress.Router","Server.Response.Packet.Time","Packet.Size","Packet.TTL","Source.IP.Concurrent.Connection","Class"
63193,0.723901387,455542,301,"Windows_All","ESTABLISHED",305.6198522,"mel-aus-01",235,1348,62,23,"NonMal"
60134,0.66175577,572169,152,"Windows_All","ESTABLISHED",867.0569246,"syd-tls-04",187,1346,57,29,"NonMal"
70556,0.628423628,383389,258,"Other_OS","ESTABLISHED",300.0762368,"syd-tls-04",189,1327,67,23,"NonMal"
60207,0.665338502,554072,237,"Android","Others",1215.900395,"mel-aus-01",142,1320,55,27,"NonMal"
52293,0.751932922,576229,274,"Windows_All","ESTABLISHED",506.5704099,"mel-aus-01",231,1360,79,27,"NonMal"
49949,0.761280136,645752,277,"Windows_All","ESTABLISHED",663.5162161,"mel-aus-01",158,1379,72,26,"NonMal"
63278,0.583529024,340050,296,"Windows_All","ESTABLISHED",18.78488079,"syd-tls-04",169,1364,69,19,"NonMal"
63462,0.443321901,360212,255,"Android","ESTABLISHED",388.0394674,"mel-aus-01",171,1342,71,19,"NonMal"
69410,0.430770142,424593,291,"Windows_All","ESTABLISHED",408.3335653,"mel-aus-01",126,1354,48,18,"NonMal"
61942,0.409595338,445067,308,"Windows_All","ESTABLISHED",635.0017466,"mel-aus-01",183,1366,73,18,"NonMal"
47978,0.53686148,531856,200,"Android","ESTABLISHED",528.3552386,"mel-aus-01",155,1443,44,11,"NonMal"
70178,0.612062577,474157,161,"Android","ESTABLISHED",558.8838516,"mel-aus-01",201,1348,63,25,"NonMal"
68742,0.440868679,461094,301,"Windows_All","ESTABLISHED",456.7315073,"syd-tls-04",166,1383,73,17,"NonMal"
53888,0.455972606,458561,311,"Windows_All","ESTABLISHED",492.0850206,"mel-aus-01",139,1361,68,12,"NonMal"
58009,0.507782331,594484,233,"Other_OS","ESTABLISHED",326.1223044,"mel-aus-01",174,1364,54,17,"NonMal"
65629,0.414071198,419786,250,"Windows_All","ESTABLISHED",570.3363417,"syd-tls-04",145,1298,71,16,"NonMal"
59088,0.670387326,550015,331,"Android","ESTABLISHED",555.1685741,"mel-aus-01",194,1310,51,28,"NonMal"
45708,0.787655501,388523,179,"Android","ESTABLISHED",700.1587352,"syd-tls-04",156,1339,68,29,"NonMal"
67749,0.38459483,413852,263,"Android","ESTABLISHED",512.5549588,"syd-tls-04",121,1321,67,15,"NonMal"
68005,0.617560045,392627,198,"Windows_All","ESTABLISHED",615.7003548,"mel-aus-01",155,1311,56,26,"NonMal"
64104,0.683894257,384324,219,"Other_OS","ESTABLISHED",806.3794009,"syd-tls-04",145,1317,60,26,"NonMal"
61032,0.596762345,357718,302,"Windows_All","ESTABLISHED",652.7137105,"syd-tls-04",169,1358,56,29,"NonMal"
60626,0.441365626,501348,314,"Android","ESTABLISHED",222.0727852,"mel-aus-01",193,1345,68,19,"NonMal"
53326,0.482412124,493493,247,"Android","Others",264.4299612,"mel-aus-01",104,1348,50,11,"NonMal"
68143,0.566719428,445107,338,"Android","ESTABLISHED",699.8298482,"mel-aus-01",147,1357,71,28,"NonMal"
60946,0.692578932,583362,234,"Other_OS","ESTABLISHED",642.0523125,"syd-tls-04",165,1386,44,25,"NonMal"
60474,0.688021311,523333,296,"Windows_All","ESTABLISHED",888.6810684,"syd-tls-04",131,1379,61,25,"NonMal"
61882,0.563567907,330837,253,"Windows_All","Others",975.6085622,"mel-aus-01",168,1369,64,32,"NonMal"
61700,0.707722578,373372,267,"Windows_All","ESTABLISHED",725.6994393,"syd-tls-04",155,1343,71,25,"NonMal"
68615,0.332697061,478921,307,"Android","ESTABLISHED",832.8530876,"mel-aus-01",111,1339,55,14,"NonMal"
64331,0.497297665,438648,247,"Windows_All","ESTABLISHED",103.7525054,"syd-tls-04",159,1377,67,20,"NonMal"
62202,0.677449104,314211,317,"Windows_All","ESTABLISHED",402.2077115,"mel-aus-01",136,1353,81,23,"NonMal"
64513,0.581548806,657194,205,"Windows_All","ESTABLISHED",528.2962218,"mel-aus-01",192,1388,55,27,"NonMal"
63585,0.607997526,368716,178,"Android","ESTABLISHED",106.387249,"syd-tls-04",199,1354,50,19,"NonMal"
64843,0.312274834,498367,311,"Windows_All","ESTABLISHED",801.2549627,"mel-aus-01",107,1329,64,13,"NonMal"
63057,0.579271692,439204,226,"Android","ESTABLISHED",263.6253242,"syd-tls-04",246,1365,75,23,"NonMal"
65746,0.654312966,646850,290,"Android","ESTABLISHED",784.7656329,"mel-aus-01",198,1409,77,26,"NonMal"
53490,0.674013968,456951,335,"Android","ESTABLISHED",657.2732727,"syd-tls-04",232,1369,57,30,"NonMal"
65283,0.635051806,314515,285,"Windows_All","ESTABLISHED",310.2835864,"syd-tls-04",174,1385,56,24,"NonMal"
56402,0.681667346,517116,281,"Android","ESTABLISHED",360.0446995,"mel-aus-01",207,1324,64,26,"NonMal"
61621,0.586640338,593884,256,"Windows_All","ESTABLISHED",61.34719779,"mel-aus-01",163,1326,69,20,"NonMal"
64305,0.673355279,563661,244,"Other_OS","ESTABLISHED",503.6922247,"syd-tls-04",170,1347,50,24,"NonMal"
58273,0.674017045,650340,290,"Android","ESTABLISHED",911.8402948,"syd-tls-04",133,1376,65,29,"NonMal"
71607,0.371205413,508439,378,"Android","ESTABLISHED",587.6531635,"syd-tls-04",154,1329,76,21,"NonMal"
61155,0.678604787,412429,334,"Other_OS","ESTABLISHED",642.3029148,"mel-aus-01",160,1357,63,27,"NonMal"
61299,0.481141879,448984,258,"Android","ESTABLISHED",274.7293812,"mel-aus-01",176,1340,92,18,"NonMal"
57320,0.73639218,309525,253,"Windows_All","ESTABLISHED",573.7749556,"mel-aus-01",158,1329,74,24,"NonMal"
65088,0.474382475,508347,339,"Windows_All","ESTABLISHED",80.67066296,"mel-aus-01",195,1333,61,20,"NonMal"
73114,0.64799275,590485,226,"Windows_All","ESTABLISHED",350.6676276,"syd-tls-04",210,1330,76,23,"NonMal"
61718,0.579996132,454950,247,"Windows_All","ESTABLISHED",46.01536761,"mel-aus-01",203,1337,69,20,"NonMal"
65275,0.565487764,397828,278,"Windows_All","Others",690.4604658,"syd-tls-04",197,1320,80,29,"NonMal"
78105,0.482756344,441149,253,"Android","Others",326.2342262,"syd-tls-04",203,1322,63,24,"NonMal"
55955,0.369236832,355102,305,"Windows_All","ESTABLISHED",687.3444271,"mel-aus-01",180,1322,67,16,"NonMal"
68821,0.633058803,453942,281,"Android","ESTABLISHED",742.8332603,"syd-tls-04",145,1364,72,25,"NonMal"
67676,0.669166134,508780,238,"Android","ESTABLISHED",566.7690041,"mel-aus-01",155,1338,68,23,"NonMal"
54904,0.588803883,337932,213,"Android","ESTABLISHED",55.38368109,"syd-tls-04",253,1287,70,20,"NonMal"
64909,0.40421222,565390,271,"Windows_All","ESTABLISHED",981.3508877,"mel-aus-01",147,1369,49,16,"NonMal"
62897,0.673574514,645341,265,"Other_OS","ESTABLISHED",488.7431326,"mel-aus-01",151,1324,62,26,"NonMal"
68184,0.464045051,669724,200,"Windows_All","ESTABLISHED",443.2511488,"mel-aus-01",140,1360,56,19,"NonMal"
60176,0.668982211,458190,282,"Windows_All","ESTABLISHED",464.4484821,"syd-tls-04",205,1335,62,26,"NonMal"
64914,0.679494159,674105,297,"Windows_All","ESTABLISHED",530.9308186,"syd-tls-04",182,1338,60,24,"NonMal"
69174,0.535728015,615960,293,"Android","ESTABLISHED",68.66650864,"mel-aus-01",215,1344,60,24,"NonMal"
60652,0.718716637,372194,316,"Android","ESTABLISHED",337.3677659,"syd-tls-04",178,1381,78,23,"NonMal"
57665,0.440218938,456655,300,"Android","ESTABLISHED",660.1100393,"mel-aus-01",138,1348,55,12,"NonMal"
60615,0.655461264,527883,222,"Android","ESTABLISHED",838.1751452,"mel-aus-01",126,1355,59,27,"NonMal"
59597,0.482241553,323624,219,"Android","ESTABLISHED",630.0192236,"mel-aus-01",130,1307,66,14,"NonMal"
70755,0.606194834,575936,241,"Android","ESTABLISHED",895.2713956,"mel-aus-01",142,1332,65,27,"NonMal"
57385,0.379859316,468071,333,"Windows_All","ESTABLISHED",679.1347652,"mel-aus-01",152,1358,61,13,"NonMal"
61827,0.677536995,366756,359,"Android","ESTABLISHED",948.1562456,"mel-aus-01",137,1350,70,26,"NonMal"
66062,0.294733286,535678,254,"Windows_All","ESTABLISHED",837.548459,"mel-aus-01",156,1365,71,18,"NonMal"
63654,0.735557192,651432,305,"Windows_All","ESTABLISHED",636.4759051,"syd-tls-04",147,1310,69,23,"NonMal"
72989,0.647016342,405162,263,"Windows_All","ESTABLISHED",466.815337,"mel-aus-01",161,1396,56,22,"NonMal"
57571,0.678974584,502763,247,"Windows_All","ESTABLISHED",545.4299459,"syd-tls-04",152,1298,54,27,"NonMal"
62143,0.489940445,588010,306,"Windows_All","ESTABLISHED",307.3908745,"mel-aus-01",193,1383,72,18,"NonMal"
62485,0.750226624,560115,232,"Android","ESTABLISHED",357.4896195,"syd-tls-04",170,1377,46,21,"NonMal"
73692,0.510931112,451303,173,"Windows_All","ESTABLISHED",18.29147315,"mel-aus-01",146,1312,59,21,"NonMal"
56920,0.688687692,657891,245,"Other_OS","ESTABLISHED",508.872576,"syd-tls-04",176,1373,65,27,"NonMal"
69102,0.348886141,488283,344,"Other_OS","ESTABLISHED",686.5358723,"syd-tls-04",169,1365,54,18,"NonMal"
67944,0.527886135,651900,304,"Android","ESTABLISHED",279.7070349,"syd-tls-04",154,1341,62,20,"NonMal"
